"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"day"
"1"	"ENSMUSG00000000247"	"Lhx2"	1	"specific"	"sCs"	1	"D0"
"15"	"ENSMUSG00000004031"	"Brinp2"	1	"specific"	"sCs"	1	"D0"
"18"	"ENSMUSG00000004872"	"Pax3"	1	"specific"	"sCs"	1	"D0"
"24"	"ENSMUSG00000005763"	"Cd247"	0.891288208076258	"specific"	"ECs"	1	"D0"
"31"	"ENSMUSG00000006542"	"Prkag3"	1	"specific"	"sCs"	1	"D0"
"34"	"ENSMUSG00000007107"	"Atp1a4"	1	"specific"	"FAPs"	1	"D0"
"35"	"ENSMUSG00000008136"	"Fhl2"	0.8120435216041	"specific"	"FAPs"	1	"D0"
"38"	"ENSMUSG00000009214"	"Mymk"	1	"specific"	"sCs"	1	"D0"
"39"	"ENSMUSG00000009216"	"Fam163b"	1	"specific"	"FAPs"	1	"D0"
"41"	"ENSMUSG00000009551"	"6330409D20Rik"	1	"specific"	"ECs"	1	"D0"
"48"	"ENSMUSG00000010175"	"Prox1"	1	"specific"	"sCs"	1	"D0"
"50"	"ENSMUSG00000010311"	"Optc"	1	"specific"	"FAPs"	1	"D0"
"62"	"ENSMUSG00000015085"	"Entpd2"	0.843744671462063	"specific"	"FAPs"	1	"D0"
"65"	"ENSMUSG00000015093"	"Clic3"	1	"specific"	"FAPs"	1	"D0"
"74"	"ENSMUSG00000016194"	"Hsd11b1"	0.848680721909066	"specific"	"FAPs"	1	"D0"
"75"	"ENSMUSG00000016200"	"Syt14"	1	"specific"	"sCs"	1	"D0"
"84"	"ENSMUSG00000019230"	"Lhx9"	1	"specific"	"sCs"	1	"D0"
"90"	"ENSMUSG00000025776"	"Crispld1"	1	"specific"	"FAPs"	1	"D0"
"107"	"ENSMUSG00000025934"	"Gsta3"	0.954098322071351	"specific"	"FAPs"	1	"D0"
"120"	"ENSMUSG00000025983"	"Ccdc150"	1	"specific"	"sCs"	1	"D0"
"138"	"ENSMUSG00000026062"	"Slc9a2"	1	"specific"	"sCs"	1	"D0"
