Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Prok1,Prokr2,FAPs,0.5,0.2855585,0.9657094030004696,0.3333333333333333,0.1523886666666667,0.6630942201935328,0.0435158790703333,0.6403563235161585
ECs,Nxph1,Nrxn2,FAPs,0.5,0.0146305,1.0,1.0,0.2712373333333333,0.4416545109889589,0.0039683378053333,0.4416545109889589
ECs,Efnb2,Grm1,FAPs,1.0,40.497736,0.4338277436889532,0.3333333333333333,0.0031136666666666,1.0,0.1260964506586667,0.4338277436889532
ECs,Wnt3,Fzd1,FAPs,0.5,0.1356595,0.594607921560205,1.0,12.18022033333333,0.6858003633906682,1.652362600309833,0.4077823286809585
ECs,Fgf15,Fgfr2,FAPs,1.0,0.216573,0.7890929340172668,1.0,0.989756,0.4791009269984018,0.214354426188,0.3780551561755612
ECs,Fgf15,Fgfr1,FAPs,1.0,0.216573,0.7890929340172668,1.0,56.16712533333333,0.4772197020892965,12.164282834816,0.376570694892489
ECs,Gnai2,Mtnr1a,FAPs,1.0,195.0792385,0.2640605522989327,0.6666666666666666,0.3144306666666667,1.0,61.33889501438068,0.2640605522989327
ECs,Prok1,Prokr1,FAPs,0.5,0.2855585,0.9657094030004696,1.0,1.566020333333333,0.2651287255766807,0.4471904173561667,0.2560373032949316
ECs,Wnt3,Ryk,FAPs,0.5,0.1356595,0.594607921560205,1.0,28.70072166666667,0.42846691889729,3.893525550939167,0.2547698241028226
ECs,Aanat,Mtnr1a,FAPs,1.0,1.7954105,0.2343912616635755,0.6666666666666666,0.3144306666666667,1.0,0.5645321204553334,0.2343912616635755
ECs,Fgf8,Fgfr2,FAPs,0.5,0.064171,0.3707399083708381,1.0,0.989756,0.4791009269984018,0.063513632276,0.1776218337757711
ECs,Efna5,Epha3,FAPs,1.0,0.386502,0.2023774294220003,1.0,11.243073,0.8751111686748507,4.345470200646001,0.1771027487748988
ECs,Fgf8,Fgfr1,FAPs,0.5,0.064171,0.3707399083708381,1.0,56.16712533333333,0.4772197020892965,3.604300599765334,0.1769243886253445
ECs,Agt,Agtr2,FAPs,1.0,0.257198,0.1969864112529235,1.0,0.9663516666666668,0.872697941612829,0.2485437159633334,0.1719096356261245
ECs,Efnb3,Ephb2,FAPs,0.5,0.2222225,0.2026211956904957,1.0,3.082080666666666,0.822428495022819,0.6849076709483332,0.1666414450314585
ECs,Efna5,Ephb2,FAPs,1.0,0.386502,0.2023774294220003,1.0,3.082080666666666,0.822428495022819,1.191230341828,0.1664409647061225
ECs,Fgf15,Klb,FAPs,1.0,0.216573,0.7890929340172668,1.0,0.5056283333333332,0.1699184850321774,0.109505445035,0.1340814758978099
ECs,Efnb3,Ephb3,FAPs,0.5,0.2222225,0.2026211956904957,1.0,6.987880666666666,0.6561269237301552,1.552864311448333,0.1329452218109307
ECs,Nxph3,Nrxn2,FAPs,0.5,0.1733095,0.2863744144352553,1.0,0.2712373333333333,0.4416545109889589,0.0470080066213333,0.1264785519671521
ECs,Fgf8,Fgfrl1,FAPs,0.5,0.064171,0.3707399083708381,1.0,3.006917666666666,0.3376683346227231,0.1929569135876667,0.1251871274377619
ECs,Wnt3,Lrp6,FAPs,0.5,0.1356595,0.594607921560205,1.0,20.31779433333333,0.2058641531581443,2.756301820362833,0.1224084562331159
